SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC),name,network_id,signal,frequency,longitude,latitude
chen,b0:8b:92:75:a5:8c,zte corporation,12,77,-91,-68,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:20.928,chen,b0:8b:92:75:a5:8c,-70,2447,102.61648800013997,17.981411642915244
sery 3,c8:3a:35:08:04:c8,"Tenda Technology Co., Ltd.",21,66,-88,-73,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:20.928,sery 3,c8:3a:35:08:04:c8,-82,2462,102.6165473041552,17.98227431826874
Baiboua,6c:14:6e:e1:6b:04,"HUAWEI TECHNOLOGIES CO.,LTD",42,72,-81,-71,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:20.928,Baiboua,6c:14:6e:e1:6b:04,-77,2417,102.61657946305192,17.981767906759693
duchanh,24:43:e2:92:8e:a9,DASAN Network Solutions,36,36,-83,-83,WPA2-Personal,CCMP,802.11ac,161,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:25.354,duchanh,24:43:e2:92:8e:a9,-82,5805,102.6165473041552,17.98227431826874
Nang ,e8:f6:54:8b:24:70,"HUAWEI TECHNOLOGIES CO.,LTD",51,72,-78,-71,WPA2-Personal,CCMP,802.11ac,10,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:27.250,Nang ,e8:f6:54:8b:24:70,-63,2457,102.61654201125174,17.981519721621925
Max 3,14:4d:67:53:de:d0,Zioncom Electronics (Shenzhen) Ltd.,54,75,-77,-70,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:27.250,Max 3,14:4d:67:53:de:d0,-69,2412,102.61657946305192,17.981767906759693
SERY1,24:43:e2:32:a6:af,DASAN Network Solutions,60,72,-75,-71,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:27.250,SERY1,24:43:e2:32:a6:af,-87,2417,102.61654201125174,17.981519721621925
ETL WIFI,f4:28:53:f3:aa:d0,Zioncom Electronics (Shenzhen) Ltd.,66,66,-73,-73,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:27.250,ETL WIFI,f4:28:53:f3:aa:d0,-77,2437,102.61655101198126,17.98194755495797
ChanThavone,b0:8b:92:76:72:fa,zte corporation,84,84,-56,-56,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:27.250,ChanThavone,b0:8b:92:76:72:fa,-65,2452,102.61655101198126,17.98194755495797
MALI ,6c:14:6e:6f:9b:bc,"HUAWEI TECHNOLOGIES CO.,LTD",3,33,-94,-84,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:32.590,MALI ,6c:14:6e:6f:9b:bc,-77,5745,102.61694572640276,17.981744290056056
ID,b8:d6:f6:35:36:28,"HUAWEI TECHNOLOGIES CO.,LTD",3,48,-94,-79,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:32.590,ID,b8:d6:f6:35:36:28,-95,5745,102.61699633314096,17.981503460920973
Baiboua,a0:44:5c:35:df:95,"HUAWEI TECHNOLOGIES CO.,LTD",48,48,-79,-79,WPA2-Personal,CCMP,802.11ax,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:32.590,Baiboua,a0:44:5c:35:df:95,-80,5220,102.61657946305192,17.981767906759693
Nang,e8:f6:54:8b:24:75,"HUAWEI TECHNOLOGIES CO.,LTD",48,57,-79,-76,WPA2-Personal,CCMP,802.11ax,48,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:32.590,Nang,e8:f6:54:8b:24:75,-73,5240,102.61654201125174,17.981519721621925
Baiboua,6c:14:6e:e1:6b:08,"HUAWEI TECHNOLOGIES CO.,LTD",33,33,-84,-84,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:37.553,Baiboua,6c:14:6e:e1:6b:08,-86,5220,102.61657946305192,17.981767906759693
Pee,64:6d:4e:34:02:fd,"HUAWEI TECHNOLOGIES CO.,LTD",9,33,-92,-84,WPA2-Personal,CCMP,802.11ax,48,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:44.557,Pee,64:6d:4e:34:02:fd,-95,5240,102.616107324111,17.98192638616496
Orlathai,c4:fb:aa:a8:5f:ac,"HUAWEI TECHNOLOGIES CO.,LTD",27,36,-86,-83,Open,,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:44.557,Orlathai,c4:fb:aa:a8:5f:ac,-83,5745,102.6163580005722,17.98193896390551
Orlathai,c4:fb:aa:a8:5f:a8,"HUAWEI TECHNOLOGIES CO.,LTD",69,72,-72,-71,Open,,802.11n,6,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:44.557,Orlathai,c4:fb:aa:a8:5f:a8,-65,2437,102.61628110697342,17.98194179086964
Deth,e0:a1:ce:df:a8:c6,zte corporation,30,78,-85,-66,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:44.557,Deth,e0:a1:ce:df:a8:c6,-53,2422,102.61600999680608,17.981943330886143
DP1122,dc:21:e2:98:bc:e4,"HUAWEI TECHNOLOGIES CO.,LTD",36,60,-83,-75,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:44.557,DP1122,dc:21:e2:98:bc:e4,-79,2417,102.61628110697342,17.98194179086964
DP1122,dc:21:e2:98:bc:e8,"HUAWEI TECHNOLOGIES CO.,LTD",60,60,-75,-75,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:44.557,DP1122,dc:21:e2:98:bc:e8,-77,5180,102.61628110697342,17.98194179086964
Pee,64:6d:4e:34:02:f8,"HUAWEI TECHNOLOGIES CO.,LTD",39,39,-82,-82,WPA2-Personal,CCMP,802.11ac,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:51.753,Pee,64:6d:4e:34:02:f8,-74,2462,102.616107324111,17.98192638616496
SIHABOUT,5c:92:5e:2b:fb:34,Zioncom Electronics (Shenzhen) Ltd.,45,63,-80,-74,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:51.753,SIHABOUT,5c:92:5e:2b:fb:34,-72,2412,102.616107324111,17.98192638616496
NGOCONGVAN,0c:b6:d2:24:71:a1,D-Link International,54,54,-77,-77,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:57.547,NGOCONGVAN,0c:b6:d2:24:71:a1,-79,2417,102.61590137552868,17.98196020491648
CARTOONPPN_5G,b8:d6:f6:45:13:d0,"HUAWEI TECHNOLOGIES CO.,LTD",6,6,-93,-93,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:57.547,CARTOONPPN_5G,b8:d6:f6:45:13:d0,-95,5745,102.6159073258476,17.981940124374013
CARTOONPPN,b8:d6:f6:45:13:cc,"HUAWEI TECHNOLOGIES CO.,LTD",33,33,-84,-84,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:04:57.547,CARTOONPPN,b8:d6:f6:45:13:cc,-77,2422,102.6159073258476,17.981940124374013
Max 2,14:4d:67:53:f2:30,Zioncom Electronics (Shenzhen) Ltd.,39,39,-82,-82,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:14.265,Max 2,14:4d:67:53:f2:30,-79,2422,102.61616441487185,17.981366709234205
James,ac:f9:70:1a:42:bc,"HUAWEI TECHNOLOGIES CO.,LTD",48,77,-79,-67,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:14.265,James,ac:f9:70:1a:42:bc,-70,2427,102.61654201125174,17.981519721621925
Baiboua,a0:44:5c:35:df:90,"HUAWEI TECHNOLOGIES CO.,LTD",54,69,-77,-72,WPA2-Personal,CCMP,802.11ac,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:17.682,Baiboua,a0:44:5c:35:df:90,-75,2462,102.61653302969704,17.981782947662218
Kathong Office,74:ac:b9:94:d7:16,Ubiquiti Inc,18,77,-89,-68,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:19.604,Kathong Office,74:ac:b9:94:d7:16,-68,2447,102.61648800013997,17.981411642915244
khaojao ,70:4f:57:4f:d5:aa,"TP-LINK TECHNOLOGIES CO.,LTD.",30,36,-85,-83,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:19.604,khaojao ,70:4f:57:4f:d5:aa,-87,2457,102.61654201125174,17.981519721621925
GX Academy,76:ac:b9:94:d7:16,Unknown,57,72,-76,-71,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:23.422,GX Academy,76:ac:b9:94:d7:16,-67,2447,102.61648800013997,17.981411642915244
OPPO A79 5G,ee:65:06:3f:09:c2,Unknown,66,76,-73,-69,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:23.422,OPPO A79 5G,ee:65:06:3f:09:c2,-78,2412,102.61699633314096,17.981503460920973
Max,dc:21:e2:97:99:ec,"HUAWEI TECHNOLOGIES CO.,LTD",9,45,-92,-80,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:26.228,Max,dc:21:e2:97:99:ec,-87,5180,102.61648800013997,17.981411642915244
DIRECT-9E-EPSON-6930AA,e2:bb:9e:69:b0:aa,Unknown,12,12,-91,-91,WPA2-Personal,CCMP,802.11n,11,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:26.228,DIRECT-9E-EPSON-6930AA,e2:bb:9e:69:b0:aa,-85,2462,102.61648800013997,17.981411642915244
PNN,dc:21:e2:97:6a:28,"HUAWEI TECHNOLOGIES CO.,LTD",24,42,-87,-81,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:26.228,PNN,dc:21:e2:97:6a:28,-77,2462,102.61648800013997,17.981411642915244
PNN,dc:21:e2:97:6a:2c,"HUAWEI TECHNOLOGIES CO.,LTD",30,69,-85,-72,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:26.228,PNN,dc:21:e2:97:6a:2c,-79,5180,102.61648800013997,17.981411642915244
Kathong2021-KKS,cc:29:bd:68:f6:50,zte corporation,60,60,-75,-75,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:31.708,Kathong2021-KKS,cc:29:bd:68:f6:50,-79,2452,102.61648800013997,17.981411642915244
HELLO WIFI2,b8:d6:f6:99:6d:10,"HUAWEI TECHNOLOGIES CO.,LTD",51,66,-78,-73,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:33.914,HELLO WIFI2,b8:d6:f6:99:6d:10,-75,2462,102.6159372510798,17.98123296605948
Home WiFi,b8:d6:f6:45:19:d8,"HUAWEI TECHNOLOGIES CO.,LTD",18,39,-89,-82,WPA2-Personal,CCMP,802.11ac,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:33.914,Home WiFi,b8:d6:f6:45:19:d8,-74,5200,102.61616441487185,17.981366709234205
PNN 2,14:4d:67:54:d7:28,Zioncom Electronics (Shenzhen) Ltd.,24,24,-87,-87,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:33.914,PNN 2,14:4d:67:54:d7:28,-82,2462,102.61616441487185,17.981366709234205
KEKKO,14:eb:b6:bd:10:ed,TP-Link Corporation Limited,81,81,-61,-61,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:33.914,KEKKO,14:eb:b6:bd:10:ed,-62,2427,102.61606910277102,17.981198957107914
HELLO WIFI2,b8:d6:f6:99:6d:14,"HUAWEI TECHNOLOGIES CO.,LTD",66,66,-73,-73,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:38.562,HELLO WIFI2,b8:d6:f6:99:6d:14,-74,5745,102.61616441487185,17.981366709234205
MILK,4c:d7:c8:79:2a:9b,Unknown,39,39,-82,-82,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:40.613,MILK,4c:d7:c8:79:2a:9b,-73,2437,102.6152656069536,17.981109286714297
tou,14:4d:67:4c:54:58,Zioncom Electronics (Shenzhen) Ltd.,60,78,-75,-66,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:43.789,tou,14:4d:67:4c:54:58,-71,2447,102.61606910277102,17.981198957107914
xiaohong,b0:8b:92:74:fa:ce,zte corporation,63,63,-74,-74,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:51:59.908,xiaohong,b0:8b:92:74:fa:ce,-77,2442,102.60756730483833,17.97782923909407
MENG,9c:65:ee:3d:df:d7,DZS Inc.,77,77,-67,-67,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:51:59.908,MENG,9c:65:ee:3d:df:d7,-74,2417,102.60775963544135,17.97802781150112
huang1688,4c:10:d5:c3:07:8a,Unknown,42,84,-81,-57,WPA2-Personal,CCMP,802.11be,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:07.255,huang1688,4c:10:d5:c3:07:8a,-71,5200,102.60781002490944,17.978631409615605
Liu you Liang,dc:21:e2:97:98:99,"HUAWEI TECHNOLOGIES CO.,LTD",51,51,-78,-78,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:07.255,Liu you Liang,dc:21:e2:97:98:99,-71,5180,102.60769730797476,17.978372928336867
wireless_Black2- 2.4G-PRO-2.4G,1c:bf:ce:a9:2f:6c,"Shenzhen Century Xinyang Technology Co., Ltd",51,57,-78,-76,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:07.255,wireless_Black2- 2.4G-PRO-2.4G,1c:bf:ce:a9:2f:6c,-85,2412,102.60792430014068,17.978830982147755
HUAWEI-liu,62:49:83:51:84:50,Unknown,54,54,-77,-77,WPA2-Personal,CCMP,802.11ax,157,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:07.255,HUAWEI-liu,62:49:83:51:84:50,-78,5785,102.60769730797476,17.978372928336867
Phetphongsy 02,88:f0:bc:03:63:dc,Unknown,54,54,-77,-77,WPA2-Personal,CCMP,802.11n,12,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:07.255,Phetphongsy 02,88:f0:bc:03:63:dc,-72,2467,102.60764682225806,17.978089458892747
360WiFi,1c:68:7e:a2:03:31,Shenzhen Qihu Intelligent Technology Company Limited,60,76,-75,-69,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:07.255,360WiFi,1c:68:7e:a2:03:31,-73,2412,102.6077702367394,17.978186534109483
DAO KHAM,04:e7:95:d3:6a:38,"HUAWEI TECHNOLOGIES CO.,LTD",51,51,-78,-78,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:52:13.600,DAO KHAM,04:e7:95:d3:6a:38,-79,2452,102.60781002490944,17.978631409615605
Aroun,04:e7:95:3c:cb:40,"HUAWEI TECHNOLOGIES CO.,LTD",77,77,-67,-67,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:38.745,Aroun,04:e7:95:3c:cb:40,-69,2462,102.6155168458792,17.981153602774942
Onthoumma,b4:04:21:87:2b:ac,zte corporation,48,54,-79,-77,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:38.745,Onthoumma,b4:04:21:87:2b:ac,-79,2422,102.61547849803848,17.981213571736273
Touny,5c:92:5e:0c:80:98,Zioncom Electronics (Shenzhen) Ltd.,48,92,-79,-43,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:38.745,Touny,5c:92:5e:0c:80:98,-51,2412,102.61606910277102,17.981198957107914
ANOUSITH,94:98:69:3b:9e:66,zte corporation,54,69,-77,-72,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:38.745,ANOUSITH,94:98:69:3b:9e:66,-70,2427,102.6152656069536,17.981109286714297
HELLOWIFI2.2,d8:32:14:f7:05:37,"Tenda Technology Co.,Ltd.Dongguan branch",3,39,-94,-82,WPA2-Personal,CCMP,802.11ax,100,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:48.239,HELLOWIFI2.2,d8:32:14:f7:05:37,-79,5500,102.6159372510798,17.98123296605948
TIK,dc:21:e2:98:e3:28,"HUAWEI TECHNOLOGIES CO.,LTD",27,39,-86,-82,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:48.239,TIK,dc:21:e2:98:e3:28,-79,5180,102.6157479213268,17.981207042299044
TIK,dc:21:e2:98:e3:24,"HUAWEI TECHNOLOGIES CO.,LTD",45,45,-80,-80,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:48.239,TIK,dc:21:e2:98:e3:24,-82,2447,102.61582914330413,17.981299526205227
Souvankham,58:f9:87:86:b8:7c,"HUAWEI TECHNOLOGIES CO.,LTD",30,54,-85,-77,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:48.239,Souvankham,58:f9:87:86:b8:7c,-80,2417,102.61582914330413,17.981299526205227
Soubu,4c:d7:c8:0e:e0:58,Unknown,51,75,-78,-70,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:48.239,Soubu,4c:d7:c8:0e:e0:58,-67,2457,102.61543806646652,17.98152404381876
Soubu-5G,4c:d7:c8:0e:e0:59,Unknown,12,39,-91,-82,WPA2-Personal,CCMP,802.11ac,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:56:53.747,Soubu-5G,4c:d7:c8:0e:e0:59,-79,5200,102.61544590630228,17.981411807374872
DIRECT-3C-EPSON-87A50A,a6:d7:3c:87:25:0a,Unknown,36,60,-83,-75,WPA2-Personal,CCMP,802.11n,2,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:04.264,DIRECT-3C-EPSON-87A50A,a6:d7:3c:87:25:0a,-74,2417,102.61660009584088,17.985198362838258
HTQ 5G,6c:14:6e:71:f3:d4,"HUAWEI TECHNOLOGIES CO.,LTD",69,81,-72,-61,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:09.985,HTQ 5G,6c:14:6e:71:f3:d4,-68,5745,102.61701618885822,17.98432614827952
Noy,f4:28:54:02:c2:44,Unknown,66,66,-73,-73,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:12.587,Noy,f4:28:54:02:c2:44,-80,2412,102.61641050338848,17.98517124055803
Dim,b8:d6:f6:45:59:20,"HUAWEI TECHNOLOGIES CO.,LTD",42,51,-81,-78,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:17.282,Dim,b8:d6:f6:45:59:20,-83,2452,102.61706656075312,17.984626874546716
HTQ,6c:14:6e:e1:5b:68,"HUAWEI TECHNOLOGIES CO.,LTD",80,80,-62,-62,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:17.282,HTQ,6c:14:6e:e1:5b:68,-80,2417,102.61681681558008,17.985262324686857
HAP_ELZKMX,56:f1:5f:98:b1:55,Unknown,36,36,-83,-83,WPA2-Personal,CCMP,802.11n,13,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:22.825,HAP_ELZKMX,56:f1:5f:98:b1:55,-65,2472,102.61701618885822,17.98432614827952
HAP_OVDEMW,56:f1:5f:98:53:42,Unknown,36,39,-83,-82,WPA2-Personal,CCMP,802.11n,13,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:22.825,HAP_OVDEMW,56:f1:5f:98:53:42,-69,2472,102.61701618885822,17.98432614827952
HAP_XTKBAH,56:f1:5f:98:50:c0,Unknown,39,78,-82,-66,WPA2-Personal,CCMP,802.11n,13,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:02:22.825,HAP_XTKBAH,56:f1:5f:98:50:c0,-60,2472,102.61701618885822,17.98432614827952
Lao icare3,6c:14:6e:70:04:64,"HUAWEI TECHNOLOGIES CO.,LTD",3,36,-94,-83,WPA2-Personal,CCMP,802.11n,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:46.865,Lao icare3,6c:14:6e:70:04:64,-89,5220,102.6159372510798,17.98123296605948
HELLOWIFI2.1,d8:32:14:f7:05:34,"Tenda Technology Co.,Ltd.Dongguan branch",51,51,-78,-78,WPA2-Personal,CCMP,802.11ax,13,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,04:05:46.865,HELLOWIFI2.1,d8:32:14:f7:05:34,-68,2472,102.6159372510798,17.98123296605948
